company,date,open,high,low,close
CRM,2020-10-21,256.45,258.31,251.85,254.23
CRM,2020-10-22,253.89,255.22,246.13,249.67
CRM,2020-10-23,250.1,250.57,246.81,250.52
CRM,2020-10-26,245.3,248.11,237.38,241.98
CRM,2020-10-27,248,251.75,245.77,250.3
CRM,2020-10-28,244.6,245.45,238.01,238.43
CRM,2020-10-29,242.52,242.52,237.13,237.14
CRM,2020-10-30,235.82,237.75,228.66,232.27
CRM,2020-11-02,235.12,238.5,228.99,232.45
CRM,2020-11-03,235.1,240.94,233.28,237.13
CRM,2020-11-04,246.02,252.88,243.24,250.74
CRM,2020-11-05,258.11,260.92,255.44,260.22
CRM,2020-11-06,260,261.75,254.49,260.15
CRM,2020-11-09,260.95,270.92,257.25,259.28
CRM,2020-11-10,258.06,259,242.9,247.66
CRM,2020-11-11,253.51,256.74,251.21,254.18
CRM,2020-11-12,247.4,254.97,246.36,249.42
CRM,2020-11-13,252.84,253.79,247.56,249.51
CRM,2020-11-16,249.52,253.49,248.18,249.89
CRM,2020-11-17,253.74,258.27,250.46,256.17
ADBE,2020-10-19,507.75,507.75,493.2,495.2
ADBE,2020-10-20,495.25,500.17,491.91,494.58
ADBE,2020-10-21,492.05,499.81,490.57,495.96
ADBE,2020-10-22,496.72,496.86,479.4,483.6
ADBE,2020-10-23,486.41,488.51,479.51,488.5
ADBE,2020-10-26,480.88,488.78,470.13,475.2
ADBE,2020-10-27,479.78,481.89,473.47,478.56
ADBE,2020-10-28,469.17,470.97,455.88,456.97
ADBE,2020-10-29,459.32,464.73,457.28,461.11
ADBE,2020-10-30,458.32,459.5,442.51,447.1
ADBE,2020-11-02,451,456.19,438.94,444.94
ADBE,2020-11-03,448.99,457.84,445.67,454.02
ADBE,2020-11-04,477.93,494.94,474.47,487.23
ADBE,2020-11-05,499.27,502.53,489.8,496.47
ADBE,2020-11-06,494.95,498.72,483,494.63
ADBE,2020-11-09,494.7,499.41,470.76,471.14
ADBE,2020-11-10,466.72,468.01,446,452
ADBE,2020-11-11,458.49,470.12,457.5,467.75
ADBE,2020-11-12,473.49,474.93,461.15,462.58
ADBE,2020-11-13,467.45,470.6,459,469.34
ADBE,2020-11-16,460.43,469.53,458.25,460.95
ADBE,2020-11-17,461.66,469.91,460,467.95
NFLX,2020-10-19,537.07,541.8,525.38,530.72
NFLX,2020-10-20,528.14,533.78,522.26,525.42
NFLX,2020-10-21,501.03,506.85,488.25,489.05
NFLX,2020-10-22,494.69,495.14,482,485.23
NFLX,2020-10-23,488.11,490.06,481.35,488.28
NFLX,2020-10-26,487.03,496.82,478.9,488.24
NFLX,2020-10-27,490.01,490.49,482.93,488.93
NFLX,2020-10-28,486.36,494,483.28,486.24
NFLX,2020-10-29,488.5,513.9,479.34,504.21
NFLX,2020-10-30,502.01,505.88,472.21,475.74
NFLX,2020-11-02,478.87,486.3,475,484.12
NFLX,2020-11-03,484.93,495.31,478.76,487.22
NFLX,2020-11-04,495.36,507.73,493.98,496.95
NFLX,2020-11-05,506.56,518.73,503.45,513.76
NFLX,2020-11-06,515,515.21,502.51,514.73
NFLX,2020-11-09,485.54,495.85,467.26,470.5
NFLX,2020-11-10,470.95,484.6,463.41,480.24
NFLX,2020-11-11,483,491.68,478.26,490.76
NFLX,2020-11-12,491,496.52,480.43,486.77
NFLX,2020-11-13,486.77,488.94,477.8,482.84
NFLX,2020-11-16,480,485.58,477.3,479.1
NFLX,2020-11-17,480.12,487.51,478.85,480.63
INTC,2020-10-19,54.47,56.23,53.84,54.58
INTC,2020-10-20,54.6,54.7,53.27,53.43
INTC,2020-10-21,53.14,54.07,52.82,53.5
INTC,2020-10-22,53.12,54.22,53.07,53.9
INTC,2020-10-23,48.35,48.67,47.66,48.2
INTC,2020-10-26,47.85,47.86,46.25,46.72
INTC,2020-10-27,45.98,46.41,45.36,45.64
INTC,2020-10-28,44.89,45.29,44.2,44.25
INTC,2020-10-29,44.24,44.47,43.92,44.11
INTC,2020-10-30,44.1,44.8,43.61,44.28
INTC,2020-11-02,44.96,45.06,44.24,44.46
INTC,2020-11-03,44.73,45.46,44.7,44.85
INTC,2020-11-04,45.11,46.15,44.78,45.7
INTC,2020-11-05,46.15,46.38,45.53,45.68
INTC,2020-11-06,45.54,45.8,44.9,45.39
INTC,2020-11-09,46.64,47.35,45.54,45.6
INTC,2020-11-10,45.4,46.48,45.25,45.44
INTC,2020-11-11,45.9,46.46,45.86,46.35
INTC,2020-11-12,46.13,46.19,44.55,44.95
INTC,2020-11-13,44.99,45.58,44.97,45.46
INTC,2020-11-16,46.04,46.75,45.79,46.19
INTC,2020-11-17,45.75,46.12,45.41,45.53
CSCO,2020-10-19,40.15,40.38,39.16,39.3
CSCO,2020-10-20,39.44,39.51,39.03,39.2
CSCO,2020-10-21,39.31,39.57,38.98,39.06
CSCO,2020-10-22,38.85,38.96,38.38,38.82
CSCO,2020-10-23,38.93,38.97,38.65,38.82
CSCO,2020-10-26,38.4,38.43,37.15,37.67
CSCO,2020-10-27,37.38,37.5,36.59,36.87
CSCO,2020-10-28,36.32,36.51,35.68,35.71
CSCO,2020-10-29,35.51,36.07,35.28,35.69
CSCO,2020-10-30,35.6,35.93,35.49,35.9
CSCO,2020-11-02,36.19,36.35,35.67,35.9
CSCO,2020-11-03,36.36,37.33,36.3,36.68
CSCO,2020-11-04,37.03,37.3,36.5,36.57
CSCO,2020-11-05,37.02,37.3,36.91,37.23
CSCO,2020-11-06,37.56,37.6,37.08,37.53
CSCO,2020-11-09,39.92,40.23,38.12,38.2
CSCO,2020-11-10,38.21,39.03,38.17,38.72
CSCO,2020-11-11,39.01,39.45,38.44,39.33
CSCO,2020-11-12,38.98,39.39,38.4,38.67
CSCO,2020-11-13,41.2,41.52,40.56,41.4
CSCO,2020-11-16,41.74,42.59,41.35,42.54
CSCO,2020-11-17,41.92,42.35,41.62,41.88
ORCL,2020-10-19,60.39,60.75,59.39,59.62
ORCL,2020-10-20,59.92,60.33,59.63,59.75
ORCL,2020-10-21,59.34,60.12,59.22,59.67
ORCL,2020-10-22,59.44,59.87,58.69,59.69
ORCL,2020-10-23,59.9,60.16,59.71,59.9
ORCL,2020-10-26,58.1,58.48,56.53,57.49
ORCL,2020-10-27,57.64,57.98,57.02,57.08
ORCL,2020-10-28,56.27,56.6,55.53,55.59
ORCL,2020-10-29,55.2,56.76,55.14,56.02
ORCL,2020-10-30,55.75,56.64,55.45,56.11
ORCL,2020-11-02,56.44,57.47,56.12,56.45
ORCL,2020-11-03,57,57.5,56.57,56.8
ORCL,2020-11-04,58,58.09,56.35,56.49
ORCL,2020-11-05,57.46,57.65,56.42,56.66
ORCL,2020-11-06,56.77,56.98,56.15,56.8
ORCL,2020-11-09,58.19,59.08,56.77,56.84
ORCL,2020-11-10,56.91,57.24,56.2,56.67
ORCL,2020-11-11,57.06,57.63,56.8,57.2
ORCL,2020-11-12,57.26,57.49,56.1,56.45
ORCL,2020-11-13,56.88,57.09,56.55,56.91
ORCL,2020-11-16,57.02,57.61,56.88,57.15
ORCL,2020-11-17,57,57.39,56.81,57.12
QCOM,2020-10-19,130.13,131.96,127.7,128.42
QCOM,2020-10-20,129.18,129.33,127.51,128.3
QCOM,2020-10-21,128.04,130.42,126.37,128.55
QCOM,2020-10-22,129.51,129.59,126.86,128.38
QCOM,2020-10-23,128.59,129.1,127.1,128.88
QCOM,2020-10-26,127.53,128.67,124.4,126.2
QCOM,2020-10-27,126.51,126.96,125.19,125.91
QCOM,2020-10-28,123.5,123.82,121.05,121.58
